# WaniKani - Vocabulary
# Generated on May 29, 2016 06:49 AM UTC
# WaniKani to Anki Exporter (http://wanikanitoanki.com)
#key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
v_罪;vocabulary;罪;sin, crime;;;;;つみ;20
v_数学;vocabulary;数学;mathematics, math, maths;;;;;すうがく;8
v_森;vocabulary;森;woods, forest;;;;;もり;8
v_交番;vocabulary;交番;police box;;;;;こうばん;8
v_研究;vocabulary;研究;investigation, study, research;;;;;けんきゅう;8
v_私鉄;vocabulary;私鉄;private railway;;;;;してつ;14
v_〜冊;vocabulary;〜冊;books counter, counter for books, books;;;;;さつ;19
v_化ける;vocabulary;化ける;to transform;;;;;ばける;8
v_妻子;vocabulary;妻子;wife and kids, wife and children;;;;;さいし;20
v_弓矢;vocabulary;弓矢;bow and arrow;;;;;ゆみや;20
v_美人;vocabulary;美人;beautiful woman;;;;;びじん;9
v_医学;vocabulary;医学;medical science, medicine;;;;;いがく;8
v_楽しい;vocabulary;楽しい;fun;;;;;たのしい;8
v_走り回る;vocabulary;走り回る;to run around;;;;;はしりまわる;8
v_電力;vocabulary;電力;electric power;;;;;でんりょく;8
v_馬力;vocabulary;馬力;horsepower;;;;;ばりき;8
v_曲線;vocabulary;曲線;curve, curved line;;;;;きょくせん;10
v_二番;vocabulary;二番;number two, second;;;;;にばん;8
v_両者;vocabulary;両者;both people;;;;;りょうしゃ;8
v_防ぐ;vocabulary;防ぐ;to defend, to protect against, to prevent;;;;;ふせぐ;20
v_読者;vocabulary;読者;reader;;;;;どくしゃ;20
v_強調;vocabulary;強調;emphasis, highlight, stress;;;;;きょうちょう;10
v_得;vocabulary;得;benefit, profit, advantage, gain;;;;;とく;19
v_戸;vocabulary;戸;japanese style door, door;;;;;と;3
v_道路;vocabulary;道路;paved road, road, sealed road;;;;;どうろ;10
v_公開;vocabulary;公開;open to the public;;;;;こうかい;10
v_予約;vocabulary;予約;reservation, appointment;;;;;よやく;14
v_浅い;vocabulary;浅い;shallow;;;;;あさい;15
v_布;vocabulary;布;cloth, fabric;;;;;ぬの;19
v_想像する;vocabulary;想像する;to imagine;;;;;そうぞうする;13
v_一億円;vocabulary;一億円;one hundred million yen;;;;;いちおくえん;13
v_善悪;vocabulary;善悪;good and evil;;;;;ぜんあく;19
v_季節;vocabulary;季節;season;;;;;きせつ;19
v_毛布;vocabulary;毛布;blanket;;;;;もうふ;19
v_共有する;vocabulary;共有する;to share, to own jointly, to co own;;;;;きょうゆうする;13
v_歌;vocabulary;歌;song;;;;;うた;10
v_決まる;vocabulary;決まる;to be decided, to be settled;;;;;きまる;10
v_頑固;vocabulary;頑固;stubborn;;;;;がんこ;14
v_入団;vocabulary;入団;join, enlist, enrollment, enlistment;;;;;にゅうだん;19
v_容疑;vocabulary;容疑;suspicion, suspect;;;;;ようぎ;19
v_保持する;vocabulary;保持する;to maintain, to preserve;;;;;ほじする;18
v_泳ぎ;vocabulary;泳ぎ;swimming, swim;;;;;およぎ;9
v_転がる;vocabulary;転がる;to roll, to tumble;;;;;ころがる;10
v_お酒;vocabulary;お酒;sake, alcohol;;;;;おさけ;10
v_才能;vocabulary;才能;talent, ability, genius;;;;;さいのう;14
v_英文;vocabulary;英文;english writing, english composition;;;;;えいぶん;15
v_体重;vocabulary;体重;body weight;;;;;たいじゅう;9
v_芸者;vocabulary;芸者;geisha;;;;;げいしゃ;14
v_秋;vocabulary;秋;autumn, fall;;;;;あき;15
v_軍人;vocabulary;軍人;soldier;;;;;ぐんじん;15
v_覚える;vocabulary;覚える;to memorize, to remember, to memorise, to learn, to pick up;;;;;おぼえる;19
v_飲み放題;vocabulary;飲み放題;all you can drink;;;;;のみほうだい;15
v_歯医者;vocabulary;歯医者;dentist;;;;;はいしゃ;12
v_虫歯;vocabulary;虫歯;cavity, decayed tooth;;;;;むしば;12
v_第二章;vocabulary;第二章;chapter two, second chapter;;;;;だいにしょう;12
v_音読み;vocabulary;音読み;chinese reading, on'yomi;;;;;おんよみ;12
v_運転手;vocabulary;運転手;driver;;;;;うんてんしゅ;12
v_歴史;vocabulary;歴史;history;;;;;れきし;19
v_仮定;vocabulary;仮定;assumption, hypothesis;;;;;かてい;9
v_変人;vocabulary;変人;an eccentric, eccentric, oddball;;;;;へんじん;15
v_読む;vocabulary;読む;to read;;;;;よむ;10
v_初回;vocabulary;初回;the first time, first time;;;;;しょかい;11
v_特別;vocabulary;特別;special;;;;;とくべつ;11
v_不信;vocabulary;不信;distrust, unfaithfulness;;;;;ふしん;15
v_計算;vocabulary;計算;calculation;;;;;けいさん;15
v_注意;vocabulary;注意;caution, attention;;;;;ちゅうい;11
v_戦車;vocabulary;戦車;tank;;;;;せんしゃ;11
v_運動;vocabulary;運動;exercise;;;;;うんどう;12
v_緑色;vocabulary;緑色;green, color green, green color, colour green, green colour;;;;;みどりいろ;13
v_仏教;vocabulary;仏教;buddhism;;;;;ぶっきょう;15
